"COMPNAME","pmorigin"
"Grail","Sedimentary rock"
"Grainola","Shale"
"Graley","Mixed"
"Gralic","Sandstone"
"Gran","Granite and gneiss"
"Granath","Sandstone"
"Grandad","Schist"
"Grandeposit","Quartzite"
"Grandmesa","Basalt"
"Grandora","Granite"
"Grandpon","Basalt"
"Grandridge","Granite"
"Grandwash","Sandstone"
"Graner","Acid shale"
"Graneros","Shale and siltstone"
"Granflat","Volcanic and sedimentary rock"
"Grangeville","Granite"
"Granhogany","Granite"
"Granidry","Granite"
"Granile","Granite"
"Granipeak","Granite"
"Granitemountain","Granite"
"Granitepass","Granite"
"Granmount","Volcanic rock"
"Grannycreek","Mixed"
"Granolite","Rhyolite"
"Granoso","Mixed"
"Granquin","Welded tuff"
"Granshaw","Granite"
"Grant","Sandstone and shale"
"Grantsburg","Limestone, sandstone, and shale"
"Grantsdale","Sedimentary rock"
"Granturk","Sandstone"
"Granville","Mudstone"
"Granylith","Granodiorite"
"Granzan","Limestone and shale"
"Grapevine","Igneous and sedimentary rock"
"Grapit","Limestone"
"Grasmere","Sedimentary rock"
"Grassland","Schist"
"Grassmountain","Sandstone and siltstone"
"Grassna","Sedimentary rock"
"Grassval","Mixed"
"Grassycan","Basalt"
"Grassyhollow","Conglomerate"
"Grassyknob","Metasedimentary rock"
"Grassytrail","Sandstone and shale"
"Graufels","Granite"
"Gravecreek","Peridotite"
"Graven","Igneous rock"
"Graves","Basalt"
"Gravesumit","Mixed"
"Graveya","Welded tuff"
"Gravier","Limestone"
"Gravois","Dolomite"
"Grayco","Granite and gneiss"
"Grayford","Limestone"
"Grayhead","Granodioritic gneiss"
"Grayland","Basalt"
"Graylock","Igneous rock"
"Graypoint","Basalt"
"Grayrock","Sandstone and shale"
"Graysill","Sandstone and shale"
"Graystone","Calcareous sandstone"
"Grazane","Quartz-diorite"
"Grazer","Calcareous shale"
"Great Piece","Basalt"
"Greatday","Limestone"
"Grecan","Conglomerate"
"Gredge","Mixed"
"Green Bluff","Granodiorite"
"Green Canyon","Limestone and dolomite"
"Green Level","Mudstone"
"Green River","Sandstone and shale"
"Greenbrae","Granite"
"Greenbriar","Shale"
"Greencreek","Gneiss"
"Greendale","Limestone, sandstone, and shale"
"Greenfield","Granite"
"Greengrove","Welded tuff"
"Greengulch","Granodiorite"
"Greenhalgh","Igneous and sedimentary rock"
"Greenhope","Igneous and sedimentary rock"
"Greenhorn","Mixed"
"Greenlee","Igneous and metamorphic rock"
"Greenman","Limestone and sandstone"
"Greenmountain","Basalt"
"Greenough","Sandstone and shale"
"Greenscombe","Diorite"
"Greenson","Limestone"
"Greenspot","Granitoid"
"Greenton","Limestone and shale"
"Greenville","Sedimentary rock"
"Greenvine","Shale and siltstone"
"Greenwater","Andesite"
"Greenwell","Volcanic rock"
"Greggo","Peridotite"
"Gregory","Metasedimentary rock"
"Grehalem","Igneous and sedimentary rock"
"Grell","Serpentinite"
"Gremmers","Quartz-monzonite"
"Grenadier","Andesite"
"Grenet","Volcanic rock"
"Grenoble","Igneous, metamorphic and sedimentary rock"
"Grenville","Limestone"
"Gresham","Sandstone and shale"
"Gressy","Dolomite"
"Gretor","Interbedded sedimentary rock"
"Greyback","Igneous, metamorphic and sedimentary rock"
"Greybear","Shale"
"Greybull","Shale"
"Greycap","Limestone"
"Greyeagle","Mixed"
"Greystoke","Igneous rock"
"Gribble","Rhyolite"
"Gridge","Sandstone and siltstone"
"Gridley","Mixed"
"Grieta","Sandstone"
"Grieves","Igneous, metamorphic and sedimentary rock"
"Griffgulch","Metavolcanics"
"Griffinsburg","Metasedimentary rock"
"Griffith","Chalk"
"Griffy","Sedimentary rock"
"Grifleys","Igneous rock"
"Grigsby","Sedimentary rock"
"Grimes","Granite"
"Grimlake","Volcanic rock"
"Grimm","Igneous rock"
"Grimsley","Sandstone and shale"
"Grimstone","Igneous and metamorphic rock"
"Grina","Sedimentary rock"
"Grindbrook","Mixed"
"Grinder","Granitoid"
"Grink","Limestone and dolomite"
"Grinrod","Basalt"
"Gritney","Sedimentary rock"
"Griver","Sedimentary rock"
"Grizzle","Sandstone and shale"
"Grizzly","Igneous rock"
"Grizzlybluff","Mixed"
"Grizzlycreek","Mixed"
"Grobutte","Igneous, metamorphic and sedimentary rock"
"Groesbeck","Mixed"
"Groff","Granite and gneiss"
"Gromes","Latite"
"Grommet","Sedimentary rock"
"Groomer","Igneous and sedimentary rock"
"Groseclose","Limestone and shale"
"Gross","Basalt"
"Grosschat","Quartz-monzonite"
"Groton","Limestone"
"Grotte","Sandstone"
"Grousecreek","Igneous rock"
"Grousehill","Andesite"
"Grouseville","Tuff"
"Grouslous","Metasedimentary rock"
"Groutcreek","Granitoid"
"Grove","Quartz-diorite"
"Grovecreek","Metamorphic and sedimentary rock"
"Grover","Mica schist"
"Groveton","Granite and gneiss"
"Growden","Gneiss"
"Growler","Andesite"
"Growset","Quartz-monzonite"
"Grubcreek","Basalt"
"Grube","Quartzite"
"Grubrob","Mudstone"
"Grubstake","Gneiss"
"Gruene","Mixed"
"Grummit","Acid shale"
"Grunnell","Sedimentary rock"
"Grunney","Mixed"
"Gruver","Mixed"
"Gschwend","Sandstone"
"Guadalupe","Igneous and sedimentary rock"
"Guaje","Volcanic rock"
"Guam","Limestone"
"Guama","Serpentinite"
"Guamani","Volcanic and sedimentary rock"
"Guanabano","Limestone, sandstone, and shale"
"Guanajibo","Igneous, metamorphic and sedimentary rock"
"Guanella","Igneous and metamorphic rock"
"Guanica","Igneous, metamorphic and sedimentary rock"
"Guano","Sedimentary rock"
"Guardian","Rock gypsum"
"Guayabo","Igneous, metamorphic and sedimentary rock"
"Guayabota","Andesite"
"Guayacan","Limestone"
"Guayama","Basalt"
"Gube","Sandstone"
"Guben","Sandstone and shale"
"Gudgel","Sandstone and shale"
"Gudgrey","Sandstone and shale"
"Guemes","Serpentinite"
"Guenoc","Basalt"
"Guenther","Igneous and metamorphic rock"
"Guerin","Metavolcanics"
"Guernsey","Limestone and shale"
"Guerrero","Igneous rock"
"Guest","Basalt"
"Guff","Igneous and sedimentary rock"
"Guffey","Granite"
"Guijarral","Sedimentary rock"
"Guilder","Sandstone"
"Guin","Sedimentary rock"
"Guiser","Conglomerate"
"Guler","Basalt"
"Gulliford","Mixed"
"Gullion","Limestone"
"Gulnare","Sandstone"
"Gumble","Sedimentary rock"
"Gumdale","Limestone, sandstone, and shale"
"Gunbarrel","Igneous, metamorphic and sedimentary rock"
"Gund","Mixed"
"Gundy","Slate"
"Gunlock","Dolomite"
"Gunn","Basalt"
"Gunsight","Mixed"
"Gunsone","Sandstone and shale"
"Gunstock","Sandstone and shale"
"Gunwale","Diorite"
"Gurdane","Basalt"
"Gurdugee","Mixed"
"Gurley","Sandstone and shale"
"Gurlidawg","Pyroclastic rock"
"Gurney","Sedimentary rock"
"Gustin","Volcanic rock"
"Gustspring","Sandstone"
"Guthrie","Shale and siltstone"
"Gutridge","Metasedimentary rock"
"Guvo","Basalt"
"Guy","Igneous, metamorphic and sedimentary rock"
"Guyan","Interbedded sedimentary rock"
"Guyandotte","Sandstone and shale"
"Guyot","Sandstone"
"Guyton","Sedimentary rock"
"Gwena","Mixed"
"Gwin","Basalt"
"Gwinly","Basalt"
"Gwinnett","Gneiss"
"Gyberg","Sandstone"
"Gymer","Limestone and shale"
"Gynelle","Mixed"
"Gypill","Sedimentary rock"
"Gypimack","Sandstone and shale"
"Gypla","Sandstone and shale"
"Gypnevee","Rock gypsum"
"Gyppocket","Sedimentary rock"
"Gyprockmesa","Sandstone and shale"
"Gypsey","Shale"
"Gyptur","Shale and siltstone"
"Gypwash","Limestone"
"Gystrum","Rock gypsum"
"Haa","Pahoehoe lava"
"Haar","Sedimentary rock"
"Habenome","Granite"
"Habersham","Quartzite"
"Hackamore","Shale"
"Hackers","Shale and siltstone"
"Hackling","Limestone and sandstone"
"Hackney","Shale"
"Hackroy","Tuff"
"Hackwood","Basalt"
"Hadden","Calcareous shale"
"Hades","Quartzite"
"Hadley","Slate"
"Hadselville","Sedimentary rock"
"Haflinger","Mixed"
"Hafmau","Volcanic rock"
"Hagata","Tuff"
"Hagenbarth","Volcanic rock"
"Hager","Basalt"
"Hagerman","Sandstone and shale"
"Hagerstown","Limestone"
"Hagerwest","Sandstone and shale"
"Hagga","Mixed"
"Haggatt","Limestone"
"Hagstadt","Siltstone"
"Haiku","Basalt"
"Hailesboro","Igneous and sedimentary rock"
"Hailey","Limestone"
"Hailman","Igneous and sedimentary rock"
"Hailstone","Granite"
"Haire","Sedimentary rock"
"Hairpin","Sandstone and siltstone"
"Hajisho","Limestone"
"Hakker","Basalt"
"Hakuma","Pahoehoe lava"
"Halacan","Limestone and dolomite"
"Halawa","Basalt"
"Haleburu","Volcanic rock"
"Haledon","Basalt"
"Haleiwa","Basalt"
"Halekula","Aa lava"
"Halemaumau","Pahoehoe lava"
"Halewood","Gneiss"
"Half Dome","Granodiorite"
"Halfash","Andesite"
"Halfbluff","Sedimentary rock"
"Halfcircle","Siltstone"
"Halfoss","Basalt"
"Halifax","Granite and gneiss"
"Halii","Basalt"
"Haliimaile","Basalt"
"Hall Ranch","Andesite"
"Hallandale","Limestone"
"Halleck","Mixed"
"Hallettsville","Mixed"
"Hallihan","Rhyolite"
"Hallison","Mudstone"
"Halloran","Granite"
"Halsey","Slate"
"Halso","Clayey shale"
"Halvert","Basalt"
"Halyard","Andesite"
"Hamakuapoko","Basalt"
"Hamblen","Limestone, sandstone, and shale"
"Hambone","Igneous rock"
"Hambrick","Sedimentary rock"
"Hambright","Basalt"
"Hamburn","Sandstone and shale"
"Hamden","Sandstone"
"Hammack","Cherty limestone"
"Hammahamma","Basalt"
"Hammersley","Pyroclastic rock"
"Hammond","Siltstone"
"Hampshire","Limestone and shale"
"Hamrub","Basalt"
"Hamslough","Volcanic rock"
"Hamtah","Welded tuff"
"Hana","Aa lava"
"Hanalei","Basalt"
"Hanceville","Sandstone and shale"
"Handke","Sandstone"
"Handoff","Granite"
"Handpah","Mixed"
"Handran","Granite"
"Handshoe","Sandstone and shale"
"Handy","Limestone and dolomite"
"Hanford","Granite"
"Hangdo","Sandstone and shale"
"Hangerone","Metamorphic and sedimentary rock"
"Hangmans","Sandstone"
"Hangrock","Pyroclastic rock"
"Hangtown","Metamorphic rock"
"Hankins","Volcanic rock"
"Hanks","Quartz-monzonite"
"Hanksville","Shale"
"Hanly","Igneous, metamorphic and sedimentary rock"
"Hannahatchee","Glauconitic sandstone"
"Hannarocks","Granitoid"
"Hannon","Chalk"
"Hano","Sandstone and shale"
"Hansel","Igneous rock"
"Hanson","Limestone"
"Hantz","Igneous and sedimentary rock"
"Hao","Aa lava"
"Haozous","Gneiss"
"Hap","Granite"
"Hapgood","Metamorphic rock"
"Hapjack","Granite"
"Happle","Shale"
"Happus","Volcanic rock"
"Happyisles","Granodiorite"
"Happyland","Gneiss"
"Hapuna","Aa lava"
"Hapuu","Aa lava"
"Harahill","Basalt"
"Harcany","Basalt"
"Hard Labor","Granite and gneiss"
"Hardbasin","Rock gypsum"
"Hardhart","Limestone"
"Hardhat","Mixed"
"Hardin Heights","Argillaceous limestone"
"Harding","Sedimentary rock"
"Hardnut","Andesite"
"Hardol","Limestone and dolomite"
"Hardshoulder","Andesite"
"Hardteph","Quartzite"
"Hardtil","Granodiorite"
"Hardzem","Limestone"
"Harecreek","Sandstone"
"Hargran","Granite and gneiss"
"Hargreave","Sandstone"
"Harkers","Limestone, sandstone, and shale"
"Harkey","Sedimentary rock"
"Harkness","Sandstone and siltstone"
"Harl","Basalt"
"Harlan","Sandstone and siltstone"
"Harleston","Sedimentary rock"
"Harlow","Basalt"
"Harman","Shale"
"Harmiller","Metasedimentary rock"
"Harmon","Dolomite"
"Haro","Metasedimentary rock"
"Harol","Igneous rock"
"Harper","Limestone"
"Harpersville","Claystone"
"Harpeth","Limestone"
"Harpole","Diorite"
"Harqua","Andesite"
"Harrah","Sandstone"
"Harrel","Mixed"
"Harriet","Sedimentary rock"
"Harriman","Tuff"
"Harrington","Igneous rock"
"Harris","Igneous, metamorphic and sedimentary rock"
"Harrisburg","Sandstone"
"Harrisranch","Sandstone"
"Harrod","Dolomite"
"Harsha","Sedimentary rock"
"Harshinger","Sedimentary rock"
"Harskel","Pyroclastic rock"
"Harslow","Basalt"
"Hart","Basalt"
"Hart Camp","Tuff"
"Hartbench","Granite and gneiss"
"Hartford","Basalt"
"Hartig","Basalt"
"Hartill","Phyllite"
"Hartland","Igneous and sedimentary rock"
"Hartless","Metasedimentary rock"
"Hartleton","Sandstone and shale"
"Hartner","Pyroclastic rock"
"Hartnit","Andesite"
"Hartpeak","Volcanic rock"
"Hartsells","Sandstone"
"Hartsmill","Metavolcanics"
"Hartwell","Clayey shale"
"Harvan","Welded tuff"
"Harvey","Limestone"
"Hasbrouck","Basalt"
"Hashwoods","Andesite"
"Haskillpass","Quartzite"
"Hassell","Sandstone and shale"
"Hasshollow","Mixed"
"Hassler","Granite"
"Hastee","Granite"
"Hat","Welded tuff"
"Hatboro","Igneous and metamorphic rock"
"Hatch","Shale and siltstone"
"Hatchet","Basalt"
"Hatermus","Shale"
"Haterton","Calcareous shale"
"Hathaway","Igneous and sedimentary rock"
"Hatisu","Andesite"
"Hatknoll","Basalt"
"Hatliff","Igneous, metamorphic and sedimentary rock"
"Hatpeak","Basalt"
"Hatranch","Sedimentary rock"
"Hatrock","Volcanic rock"
"Hattontown","Basalt"
"Hatu","Igneous and sedimentary rock"
"Hatur","Limestone and dolomite"
"Haugan","Igneous rock"
"Haulings","Igneous rock"
"Haunchee","Limestone and dolomite"
"Hauz","Argillite"
"Havala","Granitoid"
"Havasulake","Granitoid"
"Havasupai","Igneous and sedimentary rock"
"Haven","Gneiss"
"Havensneck","Sandstone and shale"
"Haverdad","Sandstone and shale"
"Havermom","Igneous, metamorphic and sedimentary rock"
"Haverson","Sedimentary rock"
"Haviland","Sandstone and shale"
"Havre","Mixed"
"Havrelon","Sedimentary rock"
"Haw River","Igneous and metamorphic rock"
"Hawaikuh","Sandstone and shale"
"Hawi","Basalt"
"Hawkdepth","Sandstone"
"Hawkeye","Igneous and sedimentary rock"
"Hawkins","Volcanic sandstone"
"Hawkinspeak","Andesite"
"Hawkridge","Andesite"
"Hawksbill","Metamorphic and sedimentary rock"
"Hawksell","Interbedded sedimentary rock"
"Hawksnest","Interbedded sedimentary rock"
"Hawksprings","Igneous, metamorphic and sedimentary rock"
"Hawkstone","Metamorphic and sedimentary rock"
"Hawley","Sedimentary rock"
"Hawser","Sandstone and shale"
"Hawsley","Mixed"
"Hawthorne","Limestone and siltstone"
"Hawthorse","Mudstone"
"Haxby","Igneous and sedimentary rock"
"Haybourne","Granite"
"Haycamp","Sandstone and shale"
"Haydenfork","Quartzite"
"Hayescreek","Rhyolite"
"Hayespring","Volcanic rock"
"Hayesville","Granite and gneiss"
"Hayhook","Granite"
"Haymarket","Diabase"
"Haymont","Mixed"
"Hayness","Sandstone"
"Haypeak","Limestone"
"Haypress","Granite"
"Hayrack","Basalt"
"Haystack","Volcanic rock"
"Haysum","Mixed"
"Hayter","Limestone, sandstone, and shale"
"Haywire","Igneous rock"
"Haywood","Granite and gneiss"
"Hazel","Phyllite"
"Hazelair","Sandstone and siltstone"
"Hazelcamp","Metasedimentary rock"
"Hazeldell","Basalt"
"Hazen","Limestone, sandstone, and shale"
"Hazleton","Sandstone"
"Hazmaz","Metamorphic and sedimentary rock"
"Hazton","Granite"
"Headwaters","Sandstone and siltstone"
"Heake","Pahoehoe lava"
"Heapspeak","Granitoid"
"Hearne","Sandstone and shale"
"Heath","Shale and siltstone"
"Heaton","Mixed"
"Hebert","Sedimentary rock"
"Hebo","Sedimentary rock"
"Heceta","Sandstone"
"Hechtman","Rhyolite"
"Hecker","Metasedimentary rock"
"Heckison","Basalt"
"Heckly","Sandstone and siltstone"
"Hector","Sandstone"
"Hedge","Granite"
"Hedgeum","Sedimentary rock"
"Hedoes","Igneous rock"
"Hedox","Igneous and sedimentary rock"
"Hedville","Sandstone"
"Heechee","Welded tuff"
"Heely","Schist"
"Heenlake","Andesite"
"Heeser","Sandstone"
"Hefed","Igneous rock"
"Heflin","Sandstone and shale"
"Hehe","Andesite"
"Heidel","Sedimentary rock"
"Heiden","Mudstone"
"Heidtman","Granite"
"Heil","Sedimentary rock"
"Heiners","Sandstone and shale"
"Heintooga","Metasedimentary rock"
"Heiser","Volcanic rock"
"Heiskell","Limestone and shale"
"Heisspitz","Limestone and sandstone"
"Heist","Tuff"
"Heitt","Calcareous shale"
"Heizer","Limestone"
"Heldt","Sandstone and shale"
"Helechawa","Sandstone"
"Helena","Granite and gneiss"
"Helendale","Granite"
"Helkitchen","Limestone"
"Hellgate","Granite"
"Hellman","Sandstone and shale"
"Hellroaring","Sedimentary rock"
"Helm","Phyllite"
"Helmer","Basalt"
"Helmet","Diorite"
"Helmick","Sedimentary rock"
"Helmville","Limestone"
"Helper","Sandstone and shale"
"Helphenstein","Volcanic rock"
"Helter","Igneous rock"
"Helvetia","Igneous and metamorphic rock"
"Hely","Sedimentary rock"
"Hembre","Basalt"
"Hemcross","Basalt"
"Hemingford","Sandstone"
"Henderson","Cherty limestone"
"Hendon","Sandstone and shale"
"Hendricks","Quartzite"
"Henefer","Sandstone and shale"
"Henhill","Igneous rock"
"Henhoit","Conglomerate"
"Henkle","Volcanic rock"
"Henley","Volcanic and sedimentary rock"
"Henline","Igneous rock"
"Henmel","Sedimentary rock"
"Henneberry","Calcareous conglomerate"
"Henneke","Serpentinite"
"Henneway","Metasedimentary rock"
"Henniker","Schist"
"Hennings","Sandstone"
"Henningsen","Mixed"
"Henrieville","Limestone, sandstone, and shale"
"Henrysfork","Igneous, metamorphic and sedimentary rock"
"Hensley","Limestone"
"Henson","Rhyolite"
"Hentine","Serpentinite"
"Heppsie","Igneous rock"
"Herakle","Sedimentary rock"
"Herbman","Igneous and metamorphic rock"
"Herd","Conglomerate"
"Herdcamp","Sedimentary rock"
"Hereford","Tuff"
"Hereimcreek","Shale and siltstone"
"Herito","Sedimentary rock"
"Herjun","Mixed"
"Herlong","Mixed"
"Herm","Sandstone and shale"
"Hermiston","Volcanic rock"
"Hermitage","Cherty limestone"
"Hermon","Granite and gneiss"
"Hermshale","Sandstone and siltstone"
"Hernandez","Sandstone and shale"
"Herndon","Phyllite"
"Hero","Limestone"
"Herrada","Sandstone"
"Herty","Shale"
"Hesch","Sandstone"
"Heshotauthla","Sandstone and shale"
"Hesperia","Granite"
"Hesperus","Sandstone and shale"
"Hess","Basalt"
"Hesselberg","Limestone"
"Hessica","Mixed"
"Hessing","Mixed"
"Hesslan","Sandstone"
"Hetz","Sandstone and shale"
"Heusser","Quartzite"
"Heuvelton","Igneous and sedimentary rock"
"Heverlo","Shale"
"Hewent","Metavolcanics"
"Hexie","Gneiss"
"Hext","Sandstone and siltstone"
"Heytou","Basalt"
"Hezel","Granite"
"Hi Vista","Granite"
"Hiamovi","Gneiss"
"Hiarc","Sandstone"
"Hibar","Sandstone"
"Hibernia","Granite and gneiss"
"Hibler","Igneous, metamorphic and sedimentary rock"
"Hibriten","Metamorphic rock"
"Hickerson","Limestone, sandstone, and shale"
"Hickman","Igneous and sedimentary rock"
"Hickok","Sandstone"
"Hickory","Interbedded sedimentary rock"
"Hicks","Limestone, sandstone, and shale"
"Hicksville","Igneous, metamorphic and sedimentary rock"
"Hicota","Mixed"
"Hidatsa","Limestone"
"Hiddenforest","Quartzite"
"Hiddenridge","Metasedimentary rock"
"Hiddensun","Volcanic rock"
"Hideaway","Basalt"
"Hideout","Calcareous sandstone"
"Hidvalle","Sandstone and shale"
"Hierro","Sedimentary rock"
"Hietanen","Metasedimentary rock"
"Higgins","Calcareous siltstone"
"High Gap","Sandstone"
"Highams","Limestone"
"Highbank","Mixed"
"Highcamp","Andesite"
"Highdye","Shale"
"Highfalls","Gneiss"
"Highfield","Greenstone"
"Highhorn","Argillite"
"Highland","Volcanic rock"
"Highoaks","Mudstone"
"Highpark","Volcanic breccia"
"Highpeaks","Acidic volcanic breccia"
"Highpoint","Shale"
"Highprairie","Mudstone"
"Highrye","Granite"
"Highsplint","Sandstone and shale"
"Hightower","Sandstone"
"Highup","Limestone"
"Highvalley","Basalt"
"Highview","Shale"
"Highwood","Igneous rock"
"Highyork","Sandstone"
"Hiibner","Basalt"
"Hiko Peak","Igneous and sedimentary rock"
"Hiko Springs","Igneous and sedimentary rock"
"Hiland","Calcareous sandstone"
"Hildebrecht","Dolomite"
"Hildreth","Igneous rock"
"Hilea","Pahoehoe lava"
"Hiles","Sandstone and shale"
"Hilger","Igneous, metamorphic and sedimentary rock"
"Hilight","Shale"
"Hilken","Sandstone and shale"
"Hillbrick","Sandstone and shale"
"Hillco","Limestone"
"Hillcreek","Basalt"
"Hillery","Basalt"
"Hillfield","Igneous and sedimentary rock"
"Hillgate","Sedimentary rock"
"Hilltish","Conglomerate"
"Hillto","Sandstone"
"Hilltoppe","Igneous, metamorphic and sedimentary rock"
"Hillwood","Limestone"
"Hilmar","Granite"
"Hilo","Basalt"
"Hilt","Sandstone"
"Hiltabidel","Peridotite"
"Hilton","Limestone, sandstone, and shale"
"Hinckley","Gneiss"
"Hindu","Limestone"
"Hinker","Phyllite"
"Hinkle","Granite"
"Hinterland","Sandstone"
"Hinton","Volcanic rock"
"Hiore","Granite"
"Hipuk","Sandstone"
"Hiridge","Andesite"
"Hirschdale","Andesite"
"Hisega","Mica schist"
"Hisle","Clayey shale"
"Hitilo","Sandstone"
"Hitt","Limestone and dolomite"
"Hival","Sandstone and shale"
"Hiwan","Igneous and metamorphic rock"
"Hiwassee","Gneiss"
"Hixton","Sandstone"
"Hoadly","Mica schist"
"Hoagland","Mudstone"
"Hobacker","Igneous, metamorphic and sedimentary rock"
"Hobby","Volcanic rock"
"Hobcan","Igneous and sedimentary rock"
"Hoberg","Limestone"
"Hobit","Igneous rock"
"Hobo","Quartzite"
"Hobog","Igneous and sedimentary rock"
"Hobson","Sandstone and shale"
"Hocar","Metasedimentary rock"
"Hockley","Igneous, metamorphic and sedimentary rock"
"Hoconuco","Serpentinite"
"Hoda","Granodiorite"
"Hodad","Basalt"
"Hodden","Sedimentary rock"
"Hodedo","Mixed"
"Hodgins","Sedimentary rock"
"Hoff","Basalt"
"Hoffer","Granite"
"Hoffman","Granitoid"
"Hofly","Shale"
"Hogadero","Igneous and sedimentary rock"
"Hogansburg","Limestone"
"Hogback","Mica schist"
"Hogcreek","Sandstone"
"Hogensborg","Igneous rock"
